Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
À;0;0;0;0;1,8E-05
ụ;0;0;0;0;1,8E-05
文;0;0;0;0;1,8E-05
ÿ;0;0;0;0;1,8E-05
ப;0;0;0;0;1,7E-05
ز;0;0;0;0;1,7E-05
ľ;0;0;0;0;1,7E-05
ː;0;0;0;0;1,7E-05
ъ;0;0;0;0;1,7E-05
國;0;0;0;0;1,7E-05
ờ;0;0;0;0;1,7E-05
ʷ;0;0;0;0;1,7E-05
ņ;0;0;0;0;1,7E-05
מ;0;0;0;0;1,7E-05
ậ;0;0;0;0;1,6E-05
ɛ;0;0;0;0;1,6E-05
ട;0;0;0;0;1,6E-05
ħ;0;0;0;0;1,6E-05
َ;0;0;0;0;1,6E-05
ज;0;0;0;0;1,6E-05
ǎ;0;0;0;0;1,6E-05
Ψ;0;0;0;0;1,6E-05
น;0;0;0;0;1,6E-05
ב;0;0;0;0;1,6E-05
ण;0;0;0;0;1,6E-05
ʰ;0;0;0;0;1,6E-05
ẩ;0;0;0;0;1,6E-05
ா;0;0;0;0;1,6E-05
ა;0;0;0;0;1,5E-05
一;0;0;0;0;1,5E-05
李;0;0;0;0;1,5E-05
נ;0;0;0;0;1,5E-05
ற;0;0;0;0;1,5E-05
馬;0;0;0;0;1,5E-05
ữ;0;0;0;0;1,5E-05
ാ;0;0;0;0;1,5E-05
劉;0;0;0;0;1,5E-05
 ;0;0;0;0;1,5E-05
ட;0;0;0;0;1,5E-05
₱;0;0;0;0;1,5E-05
И;0;0;0;0;1,5E-05
ζ;0;0;0;0;1,5E-05
З;0;0;0;0;1,5E-05
ũ;0;0;0;0;1,5E-05
石;0;0;0;0;1,5E-05
̥;0;0;0;0;1,4E-05
ˈ;0;0;0;0;1,4E-05
武;0;0;0;0;1,4E-05
ố;0;0;0;0;1,4E-05
ط;0;0;0;0;1,4E-05
வ;0;0;0;0;1,4E-05
ש;0;0;0;0;1,4E-05
ം;0;0;0;0;1,4E-05
、;0;0;0;0;1,4E-05
日;0;0;0;0;1,4E-05
เ;0;0;0;0;1,4E-05
ŭ;0;0;0;0;1,4E-05
Л;0;0;0;0;1,3E-05
„;0;0;0;0;1,3E-05
ʽ;0;0;0;0;1,3E-05
ہ;0;0;0;0;1,3E-05
平;0;0;0;0;1,3E-05
子;0;0;0;0;1,3E-05
皇;0;0;0;0;1,3E-05
ِ;0;0;0;0;1,3E-05
司;0;0;0;0;1,3E-05
Μ;0;0;0;0;1,3E-05
च;0;0;0;0;1,3E-05
ง;0;0;0;0;1,3E-05
本;0;0;0;0;1,3E-05
ն;0;0;0;0;1,3E-05
国;0;0;0;0;1,3E-05
ր;0;0;0;0;1,3E-05
ų;0;0;0;0;1,3E-05
خ;0;0;0;0;1,3E-05
后;0;0;0;0;1,3E-05
ი;0;0;0;0;1,3E-05
ξ;0;0;0;0;1,3E-05
天;0;0;0;0;1,3E-05
র;0;0;0;0;1,3E-05
У;0;0;0;0;1,3E-05
ை;0;0;0;0;1,3E-05
ந;0;0;0;0;1,3E-05
È;0;0;0;0;1,2E-05
♭;0;0;0;0;1,2E-05
海;0;0;0;0;1,2E-05
三;0;0;0;0;1,2E-05
ว;0;0;0;0;1,2E-05
年;0;0;0;0;1,2E-05
ิ;0;0;0;0;1,2E-05
城;0;0;0;0;1,2E-05
南;0;0;0;0;1,2E-05
⟨;0;0;0;0;1,2E-05
⟩;0;0;0;0;1,2E-05
อ;0;0;0;0;1,2E-05
№;0;0;0;0;1,2E-05
Ο;0;0;0;0;1,2E-05
ब;0;0;0;0;1,2E-05
太;0;0;0;0;1,2E-05
ट;0;0;0;0;1,2E-05
श;0;0;0;0;1,2E-05
ി;0;0;0;0;1,2E-05
্;0;0;0;0;1,2E-05
ד;0;0;0;0;1,2E-05
ώ;0;0;0;0;1,1E-05
田;0;0;0;0;1,1E-05
・;0;0;0;0;1,1E-05
ť;0;0;0;0;1,1E-05
い;0;0;0;0;1,1E-05
¾;0;0;0;0;1,1E-05
道;0;0;0;0;1,1E-05
ǔ;0;0;0;0;1,1E-05
ת;0;0;0;0;1,1E-05
ắ;0;0;0;0;1,1E-05
陽;0;0;0;0;1,1E-05
（;0;0;0;0;1,1E-05
ม;0;0;0;0;1,1E-05
学;0;0;0;0;1,1E-05
ย;0;0;0;0;1,1E-05
ф;0;0;0;0;1,1E-05
）;0;0;0;0;1,1E-05
ス;0;0;0;0;1,1E-05
イ;0;0;0;0;1,1E-05
़;0;0;0;0;1,1E-05
ய;0;0;0;0;1,1E-05
ั;0;0;0;0;1,1E-05
ത;0;0;0;0;1,1E-05
西;0;0;0;0;1,1E-05
Ṭ;0;0;0;0;1,1E-05
ю;0;0;0;0;1,1E-05
®;0;0;0;0;1,1E-05
と;0;0;0;0;1,1E-05
Ι;0;0;0;0;1,1E-05
¿;0;0;0;0;1,1E-05
ص;0;0;0;0;1,1E-05
ĩ;0;0;0;0;1,1E-05
公;0;0;0;0;1,1E-05
ɨ;0;0;0;0;1E-05
小;0;0;0;0;1E-05
ル;0;0;0;0;1E-05
ŷ;0;0;0;0;1E-05
Φ;0;0;0;0;1E-05
Β;0;0;0;0;1E-05
新;0;0;0;0;1E-05
ấ;0;0;0;0;1E-05
Τ;0;0;0;0;1E-05
リ;0;0;0;0;1E-05
ď;0;0;0;0;1E-05
ע;0;0;0;0;1E-05
่;0;0;0;0;1E-05
ɔ;0;0;0;0;1E-05
ἀ;0;0;0;0;1E-05
̃;0;0;0;0;1E-05
이;0;0;0;0;1E-05
容;0;0;0;0;1E-05
慕;0;0;0;0;1E-05
明;0;0;0;0;1E-05
安;0;0;0;0;1E-05
